usuario,location,latitud,longitud
prefecturaLoja,"Loja, Ecuador",-3.99313,-79.20422
ipquis92,"Zambi, Catamayo, Loja, Ecuador",-3.94235,-79.50905
cecibelriverab,"Puerto Bolívar, Machala, El Oro, Ecuador",-3.26649,-79.99749
ComisariaPCatam,"Catamayo, Loja, Ecuador",-4,-79.36667
rene5254,"Portoviejo, Manabí, Ecuador",-1.05458,-80.45445
PatoNaranjoR,"Catamayo, Loja, Ecuador",-4,-79.36667
JSMARTINEZG,Ecuador,-1.25,-78.25
miltonlab,"Loja, Ecuador",-3.99313,-79.20422
mcarrera776,"Loja, Ecuador",-3.99313,-79.20422
estebansar,"Loja, Ecuador",-3.99313,-79.20422
plustv25,"Loja, Ecuador",-3.99313,-79.20422
Lalofloresca,"Loja, Ecuador",-3.99313,-79.20422
EncontextoL,"Loja, Ecuador",-3.99313,-79.20422
240581Miguel,"Calvas, Loja, Ecuador",-4.31667,-79.56667
luisfjaramillo1,"Loja, Ecuador",-3.99313,-79.20422
JxmeSalgado,Ecuador,-1.25,-78.25
cuxibamba,"Loja, Ecuador",-3.99313,-79.20422
GabrielaRomn13,"Loja, Ecuador",-3.99313,-79.20422
ECU911Loja,"Loja, Ecuador",-3.99313,-79.20422
cadenaecotel,"Loja, Ecuador",-3.99313,-79.20422
Jrepre,"Loja, Ecuador",-3.99313,-79.20422
JoseC03054629,"Loja, Ecuador",-3.99313,-79.20422
educuba2,"Loja, Ecuador",-3.99313,-79.20422
VocesLojanas,"Loja, Ecuador",-3.99313,-79.20422
Robin10Flores,"Loja, Ecuador",-3.99313,-79.20422
NValladared,"Loja, Ecuador",-3.99313,-79.20422
PSOELoja,"Loja, Ecuador",-3.99313,-79.20422
HuancaAbrahan,"Loja, Ecuador",-3.99313,-79.20422
haguirret,"Loja, Ecuador",-3.99313,-79.20422
andyvega82,"Loja, Ecuador",-3.99313,-79.20422
ECU911_,Ecuador,-1.25,-78.25
lojadeportes,"Loja, Ecuador",-3.99313,-79.20422
daltontocto,Ecuador,-1.25,-78.25
jorgereyesmed,"Loja, Ecuador",-3.99313,-79.20422
KRIZZPM,Ecuador,-1.25,-78.25
ArmijosHerman,"Saraguro, Loja, Ecuador",-3.65,-79.25
EcuaBitcher,Ecuador,-1.25,-78.25
xarmijosm,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
lorez96,"Loja, Ecuador",-3.99313,-79.20422
knchtrola,"Coro, Falcón, Venezuela",11,-69.83333
Lalitoyepez,"Loja, Ecuador",-3.99313,-79.20422
kpvalarezo,"Loja, Ecuador",-3.99313,-79.20422
EscuelaCJec,"Cuenca, Azuay, Ecuador",-2.90055,-79.00453
EddyRodriguezR,"Celica, Loja, Ecuador",-4.15536,-80.00725
francisludena,"Loja, Ecuador",-3.99313,-79.20422
unidadApul,"Loja, Ecuador",-3.99313,-79.20422
cos_unl,"Loja, Ecuador",-3.99313,-79.20422
Maguburneo,"Loja, Ecuador",-3.99313,-79.20422
ExcellaGionne,Francia,46,2
rtorres1820,"Loja, Ecuador",-3.99313,-79.20422
jcmorocho,"Loja, Ecuador",-3.99313,-79.20422
Marumag9090,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
GuevaraTariana,"Gonzanamá, Loja, Ecuador",-4.25,-79.45
Pepinmosquera,"Tena, Napo, Ecuador",-0.9938,-77.81286
TeatroBenjaminC,"Loja, Ecuador",-3.99313,-79.20422
Pepotis,"Macará, Loja, Ecuador",-4.38181,-79.9437
PauCasP,"Loja, Ecuador",-3.99313,-79.20422
TP_PLaVictoria,"La Victoria, Macará, Loja, Ecuador",-4.45335,-79.79625
alxgluglu,"Loja, Ecuador",-3.99313,-79.20422
dianynarvaezr,"Loja, Ecuador",-3.99313,-79.20422
nacionaldeloja,"Loja, Ecuador",-3.99313,-79.20422
leonardojavi,"Loja, Ecuador",-3.99313,-79.20422
daduquev,Ecuador,-1.25,-78.25
luisrod1985,"Celica, Loja, Ecuador",-4.15536,-80.00725
psvaldiviesom,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
omar_armijos,"Loja, Ecuador",-3.99313,-79.20422
crespocordovaa,Ecuador,-1.25,-78.25
rafaramirez209,"Loja, Ecuador",-3.99313,-79.20422
CronicaLoja,"Loja, Ecuador",-3.99313,-79.20422
danielincarrion,"Loja, Ecuador",-3.99313,-79.20422
MonsieurMartinR,Ecuador,-1.25,-78.25
MuvTaxi,"Loja, Ecuador",-3.99313,-79.20422
aarroborodas,"Loja, Ecuador",-3.99313,-79.20422
REYSODANCE,"Loja, Ecuador",-3.99313,-79.20422
DdiegopozoP,"Loja, Ecuador",-3.99313,-79.20422
apmacara35,"Macará, Loja, Ecuador",-4.38181,-79.9437
sandra_mocha,"Macará, Loja, Ecuador",-4.38181,-79.9437
GualGuarderas,"Macará, Loja, Ecuador",-4.38181,-79.9437
astryd90,"Macará, Loja, Ecuador",-4.38181,-79.9437
TPSabiango,"Macará, Loja, Ecuador",-4.38181,-79.9437
ecuabot,Ecuador,-1.25,-78.25
J_frank2104,"Loja, Ecuador",-3.99313,-79.20422
RMogrovejo,"Loja, Ecuador",-3.99313,-79.20422
MarthaMorocho9,"Loja, Ecuador",-3.99313,-79.20422
marespinosa,"Yantzaza, Zamora Chinchipe, Ecuador",-3.85,-78.75
afaustom,"Loja, Ecuador",-3.99313,-79.20422
GabrielVacacela,"Loja, Ecuador",-3.99313,-79.20422
editoa,"Loja, Ecuador",-3.99313,-79.20422
patriciasegarra,"Loja, Ecuador",-3.99313,-79.20422
sinfonicaLoja,"Loja, Ecuador",-3.99313,-79.20422
SoniaOrdoez12,"Loja, Ecuador",-3.99313,-79.20422
yenny_poma,"Macará, Loja, Ecuador",-4.38181,-79.9437
lrafael696,"Loja, Ecuador",-3.99313,-79.20422
95cb700d539b4c8,"Loja, Ecuador",-3.99313,-79.20422
GoberLoja,"Loja, Ecuador",-3.99313,-79.20422
jdiazarmijos81,"Santa Rosa, El Oro, Ecuador",-3.44385,-80.00982
stalingp,"Loja, Ecuador",-3.99313,-79.20422
Mauritacs,"Loja, Ecuador",-3.99313,-79.20422
jorgepogo1974,"Loja, Ecuador",-3.99313,-79.20422
GabyBorjaT,"Loja, Ecuador",-3.99313,-79.20422
correapabloivan,"Loja, Ecuador",-3.99313,-79.20422
ComisaraCentin1,"Centinela del Condor, Ecuador",-3.91563,-78.74931
ale_maldo94,"Loja, Ecuador",-3.99313,-79.20422
CentinelaPais,"Zumbi, Zamora Chinchipe, Ecuador",-3.95612,-78.74451
CarolineZeraus,Ecuador,-1.25,-78.25
Grachy2531,"Loja, Ecuador",-3.99313,-79.20422
LorenaCueva,"Loja, Ecuador",-3.99313,-79.20422
crc_ez,Ecuador,-1.25,-78.25
primereporte,"Loja, Ecuador",-3.99313,-79.20422
JoseIvanRamir11,"Centinela del Condor, Ecuador",-3.91563,-78.74931
marceloquinter3,"Ambato, Tungurahua, Ecuador",-1.24908,-78.61675
ConectadosLoja,"Loja, Ecuador",-3.99313,-79.20422
juanlmera,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
srradioEc,"Loja, Ecuador",-3.99313,-79.20422
RENEISMAELCORON,"Loja, Ecuador",-3.99313,-79.20422
wlncuenca82,"Loja, Ecuador",-3.99313,-79.20422
Senderoparaiso,Ecuador,-1.25,-78.25
rober_rojas,"Loja, Ecuador",-3.99313,-79.20422
GavyJhu21,"Loja, Ecuador",-3.99313,-79.20422
maguita2018,"Loja, Ecuador",-3.99313,-79.20422
miltonoeltapia,"Loja, Ecuador",-3.99313,-79.20422
anton665,Ecuador,-1.25,-78.25
TPJimbilla,"Loja, Ecuador",-3.99313,-79.20422
telmomacas,"Loja, Ecuador",-3.99313,-79.20422
animirita,Ecuador,-1.25,-78.25
marcelopreyesc,"Loja, Ecuador",-3.99313,-79.20422
eriksaquita,"Vicentino, Puyango, Loja, Ecuador",-3.97606,-79.92143
SacaPinza,"Vicentino, Puyango, Loja, Ecuador",-3.97606,-79.92143
LuisFloresMD,"Loja, Ecuador",-3.99313,-79.20422
JennyluReyes,"Loja, Ecuador",-3.99313,-79.20422
romerotereza85,"Vicentino, Puyango, Loja, Ecuador",-3.97606,-79.92143
CarlosCallirgo1,Perú,-10,-75.25
tenenciaVicenti,"Vicentino, Puyango, Loja, Ecuador",-3.97606,-79.92143
nahuml07,"Machala, El Oro, Ecuador",-3.25861,-79.96053
lluzhapa,"Loja, Ecuador",-3.99313,-79.20422
BolivarianoLoja,"Loja, Ecuador",-3.99313,-79.20422
HolguerGuerrero,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
_paulymera,"Riobamba, Chimborazo, Ecuador",-1.67098,-78.64712
MunicipioDeLoja,"Loja, Ecuador",-3.99313,-79.20422
tenientelluzhap,"Loja, Ecuador",-3.99313,-79.20422
fabriciovelav,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
blancaperez1969,"Zamora, Zamora Chinchipe, Ecuador",-4.25,-78.83333
estosucedeloja,"Loja, Ecuador",-3.99313,-79.20422
pancho_jv,"Loja, Ecuador",-3.99313,-79.20422
monanste,"Loja, Ecuador",-3.99313,-79.20422
carinaayora,"Loja, Ecuador",-3.99313,-79.20422
eveandraded,"Loja, Ecuador",-3.99313,-79.20422
geopatino,"Cuenca, Azuay, Ecuador",-2.90055,-79.00453
ximdiaz,Ecuador,-1.25,-78.25
Viviana_nhr,"Loja, Ecuador",-3.99313,-79.20422
anouka,"Loja, Ecuador",-3.99313,-79.20422
NuevaFatimaTP,"Nueva Fatima, Sozoranga, Loja, Ecuador",-4.26601,-79.823
tp27deAbril,"Espíndola, Loja, Ecuador",-4.6,-79.41667
LenVlez,"Loja, Ecuador",-3.99313,-79.20422
WilmanHernnCamp,"Loja, Ecuador",-3.99313,-79.20422
D_a_n_i_e_L_a_G,Ecuador,-1.25,-78.25
joise_villena,"Loja, Ecuador",-3.99313,-79.20422
cristhianeras,"Aeropuerto Internacional Mariscal Sucre, Quito, Ecuador",-0.11956,-78.35518
MariaCVivanco1,"Loja, Ecuador",-3.99313,-79.20422
DaniloMora5,"Loja, Ecuador",-3.99313,-79.20422
Puul_17,"Loja, Ecuador",-3.99313,-79.20422
LaFeriaDeLoja,"Loja, Ecuador",-3.99313,-79.20422
PozulTenencia,"Pózul, Celica, Loja, Ecuador",-4.12657,-80.05251
paulpardo_s,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
ocabrera_cis,"Loja, Ecuador",-3.99313,-79.20422
fabrizio_213,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
JudicaturaLoja,"Loja, Ecuador",-3.99313,-79.20422
LoreLeonVelez,"Loja, Ecuador",-3.99313,-79.20422
CarlosLuzcando,"Loja, Ecuador",-3.99313,-79.20422
majosecoronelr,"Loja, Ecuador",-3.99313,-79.20422
vynicioalv,"Loja, Ecuador",-3.99313,-79.20422
pauloignaciohv,"Loja, Ecuador",-3.99313,-79.20422
lrsaa,"Loja, Ecuador",-3.99313,-79.20422
joaordonezceli,"Loja, Ecuador",-3.99313,-79.20422
malacatod,"Loja, Ecuador",-3.99313,-79.20422
maisaveliz,Ecuador,-1.25,-78.25
MalacatosValle,"Loja, Ecuador",-3.99313,-79.20422
nosfaltan3,Ecuador,-1.25,-78.25
andres92ec,"Loja, Ecuador",-3.99313,-79.20422
lasalle_loja,"Loja, Ecuador",-3.99313,-79.20422
JandryRey,"Machala, El Oro, Ecuador",-3.25861,-79.96053
JoseAlv37335291,"Loja, Ecuador",-3.99313,-79.20422
FabrizioR72,"Loja, Ecuador",-3.99313,-79.20422
cbomberosloja,"Loja, Ecuador",-3.99313,-79.20422
richoalb,"Loja, Ecuador",-3.99313,-79.20422
SheylaCordova20,"Loja, Ecuador",-3.99313,-79.20422
Naida_Valarezo,"Loja, Ecuador",-3.99313,-79.20422
JosselineM0722,Ecuador,-1.25,-78.25
IESSLoja,"Loja, Ecuador",-3.99313,-79.20422
Mamma_Mia_Loja,"Loja, Ecuador",-3.99313,-79.20422
pablo_ruizj,"Loja, Ecuador",-3.99313,-79.20422
geovanny6,"Cuenca, Azuay, Ecuador",-2.90055,-79.00453
LOLYGDMM,"Loja, Ecuador",-3.99313,-79.20422
AlbitaSnchez1,"Loja, Ecuador",-3.99313,-79.20422
Arcsa_Ec,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
cjavichomusic,"Loja, Ecuador",-3.99313,-79.20422
luisxaviercb,"Catamayo, Loja, Ecuador",-4,-79.36667
AlbitaPogo,"Loja, Ecuador",-3.99313,-79.20422
davidbustaruiz,"Macará, Loja, Ecuador",-4.38181,-79.9437
TePVilcabamba,"Vilcabamba, Loja, Ecuador",-4.26233,-79.22287
dianaeli83,"Loja, Ecuador",-3.99313,-79.20422
morocha_ra,Ecuador,-1.25,-78.25
DavichoCato,"Loja, Ecuador",-3.99313,-79.20422
Niko_Macas,Ecuador,-1.25,-78.25
mauci_bb,"Loja, Ecuador",-3.99313,-79.20422
TpNambacola,"Nambacola, Gonzanamá, Loja, Ecuador",-4.09736,-79.43334
pinbuae,"Loja, Ecuador",-3.99313,-79.20422
PastazaCJ,"Puyo, Pastaza, Ecuador",-1.48369,-78.00257
chinchipeHoy,"Zumba, Chinchipe, Zamora Chinchipe, Ecuador",-4.85142,-79.18231
PAEDCAMO,"Loja, Ecuador",-3.99313,-79.20422
RadioCorpLoja,"Loja, Ecuador",-3.99313,-79.20422
CJudicaturaEc,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
JulianBurneo,"Zapotillo, Loja, Ecuador",-4.22038,-80.32116
coddic_ec,"Loja, Ecuador",-3.99313,-79.20422
MarElith,Ecuador,-1.25,-78.25
RequelmeAndres,Ecuador,-1.25,-78.25
AbyCruzCalle,"Loja, Ecuador",-3.99313,-79.20422
licha1026,"Loja, Ecuador",-3.99313,-79.20422
pasa711,"Loja, Ecuador",-3.99313,-79.20422
jplazaecu,Ecuador,-1.25,-78.25
lodelmomentoloj,"Loja, Ecuador",-3.99313,-79.20422
karinacasti14,"Loja, Ecuador",-3.99313,-79.20422
JuanJosBustama5,"Celica, Loja, Ecuador",-4.15536,-80.00725
jpolmedo11,"Loja, Ecuador",-3.99313,-79.20422
ngelVirgilioBe1,"Loja, Ecuador",-3.99313,-79.20422
debanegasm,"Loja, Ecuador",-3.99313,-79.20422
apolorichard,"Loja, Ecuador",-3.99313,-79.20422
TPolOrianga,"Orianga, Paltas, Loja, Ecuador",-3.87561,-79.89088
Odalys_1729,"Loja, Ecuador",-3.99313,-79.20422
ARCSA_CZ7,"Loja, Ecuador",-3.99313,-79.20422
Erne_leon,"Loja, Ecuador",-3.99313,-79.20422
SupercomZona7,"Loja, Ecuador",-3.99313,-79.20422
tenencialarama1,"Macará, Loja, Ecuador",-4.38181,-79.9437
pcarvajalnunez,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
RosarioCordovaV,"Loja, Ecuador",-3.99313,-79.20422
Jimenez14Karito,"Loja, Ecuador",-3.99313,-79.20422
gabilinlo01,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
raquelveronicah,"Loja, Ecuador",-3.99313,-79.20422
victorjacom,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
LuisMarioValare,"Loja, Ecuador",-3.99313,-79.20422
secap_ec,Ecuador,-1.25,-78.25
BladyFS,"Loja, Ecuador",-3.99313,-79.20422
washingtonEGE,"Loja, Ecuador",-3.99313,-79.20422
Michell57995730,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
len8a1,Ecuador,-1.25,-78.25
LADRARiobamba,"Riobamba, Chimborazo, Ecuador",-1.67098,-78.64712
AlexitaEGA10,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
marcelodelpozo,Ecuador,-1.25,-78.25
rolandodavidAH,"Loja, Ecuador",-3.99313,-79.20422
AnaJC17,"Loja, Ecuador",-3.99313,-79.20422
jloaiza_07,"Loja, Ecuador",-3.99313,-79.20422
PichinchaSanMar,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
negrita1966,"Loja, Ecuador",-3.99313,-79.20422
Guidohernans,"Loja, Ecuador",-3.99313,-79.20422
infonfatimaloja,"Loja, Ecuador",-3.99313,-79.20422
iamchrissttian,Ecuador,-1.25,-78.25
craj_78,Ecuador,-1.25,-78.25
ComisariaChagua,"Chaguarpamba, Loja, Ecuador",-3.85595,-79.67225
DrLuissama,"Loja, Ecuador",-3.99313,-79.20422
Guido2434,"Loja, Ecuador",-3.99313,-79.20422
Samuelp_asencio,Granada,12.11667,-61.66667
merinowilman,"Loja, Ecuador",-3.99313,-79.20422
Xaviermauricio1,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
felipBA,"Loja, Ecuador",-3.99313,-79.20422
VistoLoja,"Loja, Ecuador",-3.99313,-79.20422
norita1807,"Loja, Ecuador",-3.99313,-79.20422
JennyCeciM,"Loja, Ecuador",-3.99313,-79.20422
1AlexDelgado,"Yantzaza, Zamora Chinchipe, Ecuador",-3.85,-78.75
ClaraAlvd,"Pichincha, Ecuador",-0.22985,-78.52495
christian11_10,"Loja, Ecuador",-3.99313,-79.20422
lquito19,Ecuador,-1.25,-78.25
AndresSantosA,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
IntiGuaillas,"San Lucas, Loja, Ecuador",-3.7484,-79.2416
sikuanga,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
AndruLen,"Loja, Ecuador",-3.99313,-79.20422
ilelsa,"Loja, Ecuador",-3.99313,-79.20422
WalterARuizPoma,"Loja, Ecuador",-3.99313,-79.20422
EdsnRmrVsqz,"Loja, Ecuador",-3.99313,-79.20422
JannynePauta,"Loja, Ecuador",-3.99313,-79.20422
tctvwcuevapa,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
_ariannajato,"Loja, Ecuador",-3.99313,-79.20422
jakoiaguilera,"Loja, Ecuador",-3.99313,-79.20422
alexismoncayo,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
carolaartieda,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
MaritzaPenaV,"Loja, Ecuador",-3.99313,-79.20422
CIFIUNL2018,"Loja, Ecuador",-3.99313,-79.20422
freddy_aponte,"Loja, Ecuador",-3.99313,-79.20422
edisoncor,"Loja, Ecuador",-3.99313,-79.20422
cachalaco,"Loja, Ecuador",-3.99313,-79.20422
majoibanezl95,Ecuador,-1.25,-78.25
InfocentrLauroG,"Paltas, Loja, Ecuador",-4.06667,-79.63333
valeriaherrera0,"Loja, Ecuador",-3.99313,-79.20422
KingFenixEC,"Loja, Ecuador",-3.99313,-79.20422
jvoy1980,"Loja, Ecuador",-3.99313,-79.20422
farvega,"Loja, Ecuador",-3.99313,-79.20422
dingo_azul,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
TEAFundacion,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
loja_infounl,"Loja, Ecuador",-3.99313,-79.20422
sarmival,"Loja, Ecuador",-3.99313,-79.20422
cristachoinfo,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
JohanaSarmientV,"Loja, Ecuador",-3.99313,-79.20422
yoyitacm,"Loja, Ecuador",-3.99313,-79.20422
VeronicaPuchaic,"Loja, Ecuador",-3.99313,-79.20422
henryjara7,"Loja, Ecuador",-3.99313,-79.20422
lukaquelo,"Loja, Ecuador",-3.99313,-79.20422
GiovanniCarrion,"Loja, Ecuador",-3.99313,-79.20422
AccionAnimalLoj,"Loja, Ecuador",-3.99313,-79.20422
LozanoSonia3,"Zamora, Zamora Chinchipe, Ecuador",-4.25,-78.83333
FredoSanti,"Loja, Ecuador",-3.99313,-79.20422
ConversacionEC,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
aireligero,Ecuador,-1.25,-78.25
VeRoFeR77,"Cuenca, Azuay, Ecuador",-2.90055,-79.00453
karinanaranjops,"Loja, Ecuador",-3.99313,-79.20422
AndreLeonGz,Ecuador,-1.25,-78.25
GabrielGarciaID,"Loja, Ecuador",-3.99313,-79.20422
lyaguana,"Catamayo, Loja, Ecuador",-4,-79.36667
utpl,"Loja, Ecuador",-3.99313,-79.20422
esthelitamaria,"Loja, Ecuador",-3.99313,-79.20422
bolivar_lojan,"Loja, Ecuador",-3.99313,-79.20422
augustoreinoso,"Loja, Ecuador",-3.99313,-79.20422
IvanIvanrv22,"Arenillas, El Oro, Ecuador",-3.55,-80.06667
paojm_78,"Loja, Ecuador",-3.99313,-79.20422
BlacioRobert,"Loja, Ecuador",-3.99313,-79.20422
vozdelsantuar,"Loja, Ecuador",-3.99313,-79.20422
AlcaldiaPuyango,"Loja, Ecuador",-3.99313,-79.20422
CriBai,"Chaguarpamba, Loja, Ecuador",-3.85595,-79.67225
JennyMallaG,"Loja, Ecuador",-3.99313,-79.20422
indy88_ff,"Loja, Ecuador",-3.99313,-79.20422
cesarmontanog,Ecuador,-1.25,-78.25
FabianCarrion4,"Loja, Ecuador",-3.99313,-79.20422
henryveradonoso,"Loja, Ecuador",-3.99313,-79.20422
MIES_Zona7,"Loja, Ecuador",-3.99313,-79.20422
Statick_ds,"Loja, Ecuador",-3.99313,-79.20422
fdsloja,"Loja, Ecuador",-3.99313,-79.20422
mmelmigu,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
dannycarpioz,"Loja, Ecuador",-3.99313,-79.20422
librepensador,"Loja, Ecuador",-3.99313,-79.20422
MaxEGCo,"Loja, Ecuador",-3.99313,-79.20422
wilmermlz,"Calvas, Loja, Ecuador",-4.31667,-79.56667
MacasNatali,"Zaruma, El Oro, Ecuador",-3.69132,-79.61174
Salud_CZ7,"Loja, Ecuador",-3.99313,-79.20422
Diana_TPPB,"Loja, Ecuador",-3.99313,-79.20422
UVDsport,"Loja, Ecuador",-3.99313,-79.20422
malufertan,"Loja, Ecuador",-3.99313,-79.20422
abendanomkt,"Loja, Ecuador",-3.99313,-79.20422
OscarCumbicus,"Loja, Ecuador",-3.99313,-79.20422
genesys33,Ecuador,-1.25,-78.25
MacasEnid,"Zamora, Zamora Chinchipe, Ecuador",-4.25,-78.83333
guilloabendano,"Loja, Ecuador",-3.99313,-79.20422
MariaMoraValen,"Loja, Ecuador",-3.99313,-79.20422
victor_hugo90,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
ElOro_Digital,"Machala, El Oro, Ecuador",-3.25861,-79.96053
Cristinaa171092,"Almería, España",36.83814,-2.45974
IvanCor73366633,"Loja, Ecuador",-3.99313,-79.20422
MaxChuquimarca,"Loja, Ecuador",-3.99313,-79.20422
CerroSantaAna,"Santa Ana, Guayaquil, Guayas, Ecuador",-2.23333,-79.96667
DarwinQuionez7,"Loja, Ecuador",-3.99313,-79.20422
LpenamPea,"Loja, Ecuador",-3.99313,-79.20422
jlbarragan27,"Loja, Ecuador",-3.99313,-79.20422
joslui13,"Loja, Ecuador",-3.99313,-79.20422
LigadeLojaU,"Loja, Ecuador",-3.99313,-79.20422
mercylu3q,Ecuador,-1.25,-78.25
PatricioMedinaD,"Loja, Ecuador",-3.99313,-79.20422
ma_rociocoronel,"Loja, Ecuador",-3.99313,-79.20422
israelsarango,"Loja, Ecuador",-3.99313,-79.20422
luis15mo7,"El Empalme, Guayas, Ecuador",-1.05,-79.61667
DavidAndrss,"Machala, El Oro, Ecuador",-3.25861,-79.96053
JorgeToalaVera,"Portoviejo, Manabí, Ecuador",-1.05458,-80.45445
elsi_alvarado,Ecuador,-1.25,-78.25
shludelu,"Loja, Ecuador",-3.99313,-79.20422
jocham1,"Loja, Ecuador",-3.99313,-79.20422
Ale19jm,"Loja, Ecuador",-3.99313,-79.20422
JacksonT_C,"Loja, Ecuador",-3.99313,-79.20422
EdwinMor8,"Saraguro, Loja, Ecuador",-3.65,-79.25
yuriyaguana,"Loja, Ecuador",-3.99313,-79.20422
Wilmanpatricio,"Loja, Ecuador",-3.99313,-79.20422
fcondoy,"Loja, Ecuador",-3.99313,-79.20422
MundialRiobamba,"Riobamba, Chimborazo, Ecuador",-1.67098,-78.64712
_FyA_,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
SteffyPaladines,"Loja, Ecuador",-3.99313,-79.20422
JuanCarlosPadiF,"Sangolquí, Pichincha, Ecuador",-0.33405,-78.45217
Karimunozn,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
patronatoloja,"Loja, Ecuador",-3.99313,-79.20422
Wider_Cadena,"Ibarra, Imbabura, Ecuador",0.35171,-78.12233
PepeSimancasEc,"Catamayo, Loja, Ecuador",-4,-79.36667
NeiraAbogado,"Machala, El Oro, Ecuador",-3.25861,-79.96053
monitajime,"Loja, Ecuador",-3.99313,-79.20422
JoseVeintimilla,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
Santiago_LDU,"Loja, Ecuador",-3.99313,-79.20422
edgarfabianhj,"Loja, Ecuador",-3.99313,-79.20422
Fabian03556884,"Loja, Ecuador",-3.99313,-79.20422
lacomposturaarr,"Loja, Ecuador",-3.99313,-79.20422
fernandocrespo1,"Loja, Ecuador",-3.99313,-79.20422
yasserpatricio,"Zapotillo, Loja, Ecuador",-4.22038,-80.32116
aletrisha,"Loja, Ecuador",-3.99313,-79.20422
MaryuriOchoa97,"Loja, Ecuador",-3.99313,-79.20422
MonYadM,"Loja, Ecuador",-3.99313,-79.20422
plopezregion7,"Loja, Ecuador",-3.99313,-79.20422
asle_ec,Ecuador,-1.25,-78.25
Sanjuandepozul,"Pózul, Celica, Loja, Ecuador",-4.12657,-80.05251
Karipena19,"Loja, Ecuador",-3.99313,-79.20422
PiedraCosta,"Loja, Ecuador",-3.99313,-79.20422
rafa_loja,"Loja, Ecuador",-3.99313,-79.20422
jorgeguarnizos,"Loja, Ecuador",-3.99313,-79.20422
xanderloja,"Loja, Ecuador",-3.99313,-79.20422
RodriguezLilina,"Loja, Ecuador",-3.99313,-79.20422
sigcho_leonardo,"Zamora, Zamora Chinchipe, Ecuador",-4.25,-78.83333
Kattye_Al89,"Loja, Ecuador",-3.99313,-79.20422
raulauquilla21,"Loja, Ecuador",-3.99313,-79.20422
Orense_SC,"Machala, El Oro, Ecuador",-3.25861,-79.96053
pautitabell,"Sabanilla, Celica, Loja, Ecuador",-4.21376,-80.14652
dorys_gallegos,"Loja, Ecuador",-3.99313,-79.20422
aliguarderas15,"Loja, Ecuador",-3.99313,-79.20422
nancyperegrinus,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
paenvico,"Loja, Ecuador",-3.99313,-79.20422
xiomitanathy,Ecuador,-1.25,-78.25
DisraelMaldonad,"Loja, Ecuador",-3.99313,-79.20422
iwia_guayusa,"Loja, Ecuador",-3.99313,-79.20422
sobeva84,Ecuador,-1.25,-78.25
bomberosaraguro,"Saraguro, Loja, Ecuador",-3.65,-79.25
nixonperez77,Ecuador,-1.25,-78.25
GabrielaDiaz07,"Catacocha, Loja, Ecuador",-4.04974,-79.64944
alf_marycela,Ecuador,-1.25,-78.25
norisOrdonez,"Loja, Ecuador",-3.99313,-79.20422
EstefaCueva23,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
b_psauca,"Loja, Ecuador",-3.99313,-79.20422
Mafer_Jaramillo,Ecuador,-1.25,-78.25
AValdiviezo86,"Loja, Ecuador",-3.99313,-79.20422
MonicaBustan,"Loja, Ecuador",-3.99313,-79.20422
cculturaloja,"Loja, Ecuador",-3.99313,-79.20422
ZoniaIntriago,"Loja, Ecuador",-3.99313,-79.20422
mallaluisa2,"Balsas, El Oro, Ecuador",-3.76834,-79.83285
jlcaraguay,"Loja, Ecuador",-3.99313,-79.20422
geovannyrene,"Yantzaza, Zamora Chinchipe, Ecuador",-3.85,-78.75
mayaykumar,"Napo, Ecuador",-0.62915,-77.83164
NelsonR14503580,"Zumba, Chinchipe, Zamora Chinchipe, Ecuador",-4.85142,-79.18231
