usuario,location,latitud,longitud
juanka_mart,"Cuenca, Azuay, Ecuador",-2.90055,-79.00453
tuesman,"Loja, Ecuador",-3.99313,-79.20422
esyyagsid,"Loja, Ecuador",-3.99313,-79.20422
MaryCh94,"Loja, Ecuador",-3.99313,-79.20422
JorgAngamarca,"Loja, Ecuador",-3.99313,-79.20422
siul_otrebla,"Loja, Ecuador",-3.99313,-79.20422
Mary_guaya82,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
Rodika0421,"Loja, Ecuador",-3.99313,-79.20422
marycastillo28,"Santa Rosa, El Oro, Ecuador",-3.44385,-80.00982
IvanQue46540802,"Loja, Ecuador",-3.99313,-79.20422
jamillrv,"Loja, Ecuador",-3.99313,-79.20422
neptalicafe,"Loja, Ecuador",-3.99313,-79.20422
albo75,Ecuador,-1.25,-78.25
beita_rivera,"Zamora, Zamora Chinchipe, Ecuador",-4.25,-78.83333
Jcrg81Juan,Ecuador,-1.25,-78.25
JorgeDimitrof,Ecuador,-1.25,-78.25
DeanRamirezM,"Samborondón, Guayas, Ecuador",-1.96276,-79.72402
peperina79,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
danram1782,"Loja, Ecuador",-3.99313,-79.20422
Juanchomto,Ecuador,-1.25,-78.25
aranzazucv,"Loja, Ecuador",-3.99313,-79.20422
margaritita123,"Loja, Ecuador",-3.99313,-79.20422
j_jalil_perez,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
diangelo1973,"Nueva Loja, Lago Agrio, Sucumbíos, Ecuador",0.086,-76.89528
pabsc,"Loja, Ecuador",-3.99313,-79.20422
yoyo_1979,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
CarlosVerareal,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
LibertadYJusti7,"El Guabo, El Oro, Ecuador",-3.25,-79.85
pauapcp,"Loja, Ecuador",-3.99313,-79.20422
lufavi65,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
Ma_celitas,"Loja, Ecuador",-3.99313,-79.20422
juanvala26,"Loja, Ecuador",-3.99313,-79.20422
valarezo_carmen,"Pichincha, Ecuador",-0.22985,-78.52495
amajito,Ecuador,-1.25,-78.25
lquito1972,Ecuador,-1.25,-78.25
CelularAlicia,"Chillanes, Ecuador",-1.93333,-79.06667
J_carlosFer,"Loja, Ecuador",-3.99313,-79.20422
KISIKIAN,"Loja, Ecuador",-3.99313,-79.20422
TuiterosLoja,"Loja, Ecuador",-3.99313,-79.20422
GxOxE,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
laurita_jime,"Loja, Ecuador",-3.99313,-79.20422
beto19087,"Loja, Ecuador",-3.99313,-79.20422
Geovicent,"Loja, Ecuador",-3.99313,-79.20422
PiojoRobert,"Loja, Ecuador",-3.99313,-79.20422
JorgeYangua,"Loja, Ecuador",-3.99313,-79.20422
danielitorico19,"Loja, Ecuador",-3.99313,-79.20422
GEOALBO99,"Loja, Ecuador",-3.99313,-79.20422
AldeaIndieShop,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
Rock_MauCR7,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
Loaizadelfina,"Celica, Loja, Ecuador",-4.15536,-80.00725
bryanfrnk,"Loja, Ecuador",-3.99313,-79.20422
AP_Malacatos,"Malacatos, Loja, Ecuador",-4.18846,-79.2362
Valentinapon27,Empalme,-1.05,-79.61667
BullBsc,"Loja, Ecuador",-3.99313,-79.20422
Dannyjaviersaa,"Loja, Ecuador",-3.99313,-79.20422
LoboStepario,"Ibarra, Imbabura, Ecuador",0.35171,-78.12233
patovala,"Loja, Ecuador",-3.99313,-79.20422
CletaEndiablada,"Aeropuerto Internacional Mariscal Sucre, Quito, Ecuador",-0.11956,-78.35518
Kary_Campoverde,"Loja, Ecuador",-3.99313,-79.20422
Paulipau212,"Loja, Ecuador",-3.99313,-79.20422
Tp_Membrillo,"Manabí, Ecuador",-0.96212,-80.71271
NconsorcioDenta,"Loja, Ecuador",-3.99313,-79.20422
Kary_Arteaga,"Chone, Manabí, Ecuador",-0.69819,-80.09361
Jorge_Guaman,"Malacatos, Loja, Ecuador",-4.18846,-79.2362
cmartinrojas,"Loja, Ecuador",-3.99313,-79.20422
karinajiron,"Loja, Ecuador",-3.99313,-79.20422
scs_juuuu,"Loja, Ecuador",-3.99313,-79.20422
AkangauT,"Puyo, Pastaza, Ecuador",-1.48369,-78.00257
GisselleAVR,"Cuenca, Azuay, Ecuador",-2.90055,-79.00453
lita83295893,Ecuador,-1.25,-78.25
Diegojimenez012,"Loja, Ecuador",-3.99313,-79.20422
veritoaji1,"Loja, Ecuador",-3.99313,-79.20422
AleAriasRoman,"Loja, Ecuador",-3.99313,-79.20422
SuperLaserfm,"Loja, Ecuador",-3.99313,-79.20422
OscarCa04708414,"Loja, Ecuador",-3.99313,-79.20422
sukitalojana,"Loja, Ecuador",-3.99313,-79.20422
krmita,"Loja, Ecuador",-3.99313,-79.20422
dianaespinoza,"Loja, Ecuador",-3.99313,-79.20422
JuCa_Cisneros,"Loja, Ecuador",-3.99313,-79.20422
macarasau,"Macará, Loja, Ecuador",-4.38181,-79.9437
marilupruiz,"Loja, Ecuador",-3.99313,-79.20422
alex666rock,"Loja, Ecuador",-3.99313,-79.20422
Aury91454236,"Loja, Ecuador",-3.99313,-79.20422
maclaus_XD,Ecuador,-1.25,-78.25
mabeeguiguren,"Loja, Ecuador",-3.99313,-79.20422
osdamuja,"Loja, Ecuador",-3.99313,-79.20422
academiachamo,"Loja, Ecuador",-3.99313,-79.20422
CarlosMonsalveA,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
